cve_id,cve_id_year,published,last_modified,time_to_first_enrichment_days,nvd_vuln_status,cna_shortName,cvss3_1_cna,cvss3_1_nvd,cvss3_1_adp,cvss4_0_cna,cvss4_0_nvd,cvss4_0_adp,cvss_scores_all_agree,cwe_cna,cwe_nvd,cwe_adp,has_cpe_applicability,has_packageURL,ssvc_exploitation,ssvc_automatable,ssvc_tech_impact,kev_listed,n_references,n_ref_tag_patch,n_ref_tag_exploit,n_ref_tag_vendor_advisory,n_ref_tag_third_party_advisory,cvelistv5_first_commit_at,cvelistv5_last_commit_at,cvelistv5_n_commits,vulnrichment_first_commit_at,vulnrichment_last_commit_at,vulnrichment_n_commits,nvd_fkie_first_observed_at,nvd_fkie_last_modified_at,nvd_fkie_n_modifications
CVE-2016-0001,2016,2017-05-11T14:29:55.767,2023-11-07T02:29:00.033,2370,Rejected,microsoft,,,,,,,true,,,,false,false,,,,false,0,0,0,0,0,2023-03-28T09:12:34Z,2026-02-19T14:51:42Z,2,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2016-0002,2016,2016-01-13T05:59:01.433,2025-04-12T10:46:40.837,3377,Deferred,microsoft,,,,,,,true,,CWE-119,,true,false,,,,false,10,0,0,0,0,2023-03-28T09:12:34Z,2026-02-19T14:51:42Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2016-0003,2016,2016-01-13T05:59:02.683,2025-04-12T10:46:40.837,3377,Deferred,microsoft,,,,,,,true,,CWE-119,,true,false,,,,false,6,0,0,0,0,2023-03-28T09:12:34Z,2026-02-19T14:51:42Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2016-0004,2016,2017-05-11T14:29:55.780,2023-11-07T02:29:00.280,2370,Rejected,microsoft,,,,,,,true,,,,false,false,,,,false,0,0,0,0,0,2023-03-28T09:12:34Z,2026-02-19T14:51:42Z,2,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2016-0005,2016,2016-01-13T05:59:03.653,2025-04-12T10:46:40.837,3377,Deferred,microsoft,,,,,,,true,,CWE-20,,true,false,,,,false,4,0,0,0,0,2023-03-28T09:12:34Z,2026-02-19T14:51:42Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2016-0006,2016,2016-01-13T05:59:04.590,2025-04-12T10:46:40.837,3377,Deferred,microsoft,,,,,,,true,,CWE-264,,true,false,,,,false,8,2,2,2,6,2023-03-28T09:12:34Z,2026-02-19T14:51:42Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2016-0007,2016,2016-01-13T05:59:05.513,2025-04-12T10:46:40.837,3377,Deferred,microsoft,,,,,,,true,,CWE-264,,true,false,,,,false,12,2,6,2,10,2023-03-28T09:12:34Z,2026-02-19T14:51:42Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2016-0008,2016,2016-01-13T05:59:06.420,2025-04-12T10:46:40.837,3377,Deferred,microsoft,,,,,,,true,,CWE-200,,true,false,,,,false,6,2,0,2,2,2023-03-28T09:12:34Z,2026-02-19T14:51:42Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2016-0009,2016,2016-01-13T05:59:07.560,2025-04-12T10:46:40.837,3377,Deferred,microsoft,,,,,,,true,,CWE-264,,true,false,,,,false,4,0,0,0,0,2023-03-28T09:12:34Z,2026-02-19T14:51:42Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2016-0010,2016,2016-01-13T05:59:08.527,2025-04-12T10:46:40.837,3377,Deferred,microsoft,,,,,,,true,,CWE-119,,true,false,,,,false,4,0,0,0,0,2023-03-28T09:12:34Z,2026-02-19T14:51:42Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
