cve_id,cve_id_year,published,last_modified,time_to_first_enrichment_days,nvd_vuln_status,cna_shortName,cvss3_1_cna,cvss3_1_nvd,cvss3_1_adp,cvss4_0_cna,cvss4_0_nvd,cvss4_0_adp,cvss_scores_all_agree,cwe_cna,cwe_nvd,cwe_adp,has_cpe_applicability,has_packageURL,ssvc_exploitation,ssvc_automatable,ssvc_tech_impact,kev_listed,n_references,n_ref_tag_patch,n_ref_tag_exploit,n_ref_tag_vendor_advisory,n_ref_tag_third_party_advisory,cvelistv5_first_commit_at,cvelistv5_last_commit_at,cvelistv5_n_commits,vulnrichment_first_commit_at,vulnrichment_last_commit_at,vulnrichment_n_commits,nvd_fkie_first_observed_at,nvd_fkie_last_modified_at,nvd_fkie_n_modifications
CVE-2017-14039,2017,2017-08-30T22:29:00.203,2025-04-20T01:37:25.860,2789,Deferred,mitre,,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,,,,,true,,CWE-787,,true,false,,,,false,12,6,0,0,12,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14040,2017,2017-08-30T22:29:00.250,2025-04-20T01:37:25.860,2789,Deferred,mitre,,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,,,,,true,,CWE-787,,true,false,,,,false,10,6,0,0,10,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14041,2017,2017-08-30T22:29:00.297,2025-04-20T01:37:25.860,2789,Deferred,mitre,,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,,,,,true,,CWE-787,,true,false,,,,false,10,6,0,0,10,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14042,2017,2017-08-30T22:29:00.327,2025-04-20T01:37:25.860,2789,Deferred,mitre,,,,,,,true,,CWE-119,,true,false,,,,false,8,4,2,0,6,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14048,2017,2017-08-31T04:29:00.240,2025-04-20T01:37:25.860,2788,Deferred,mitre,,,,,,,true,,CWE-352,,true,false,,,,false,2,0,0,0,2,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14049,2017,2017-08-31T04:29:00.273,2025-04-20T01:37:25.860,2788,Deferred,mitre,,,,,,,true,,CWE-79,,true,false,,,,false,2,0,0,0,2,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-1405,2017,2018-06-08T13:29:00.687,2024-11-21T03:21:50.090,2357,Modified,ibm,,,,,,,true,,CWE-345,,true,false,,,,false,4,2,0,4,0,2023-03-28T09:12:34Z,2026-02-19T19:03:31Z,4,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14050,2017,2017-08-31T04:29:00.303,2025-04-20T01:37:25.860,2788,Deferred,mitre,,,,,,,true,,CWE-434,,true,false,,,,false,2,0,0,0,2,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14051,2017,2017-08-31T04:29:00.337,2025-04-20T01:37:25.860,2788,Deferred,mitre,,,,,,,true,,CWE-190,,true,false,,,,false,12,2,0,0,4,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14053,2017,2017-09-01T21:29:00.670,2025-04-20T01:37:25.860,2787,Deferred,mitre,,,,,,,true,,CWE-200,,true,false,,,,false,2,0,0,2,0,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14054,2017,2017-08-31T15:29:00.247,2025-04-20T01:37:25.860,2788,Deferred,mitre,,,,,,,true,,CWE-834,,true,false,,,,false,6,2,0,0,2,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14055,2017,2017-08-31T15:29:00.340,2025-04-20T01:37:25.860,2788,Deferred,mitre,,,,,,,true,,CWE-834,,true,false,,,,false,8,2,0,0,2,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14056,2017,2017-08-31T15:29:00.373,2025-04-20T01:37:25.860,2788,Deferred,mitre,,,,,,,true,,CWE-834,,true,false,,,,false,8,2,0,0,2,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14057,2017,2017-08-31T15:29:00.420,2025-04-20T01:37:25.860,2788,Deferred,mitre,,,,,,,true,,CWE-834,,true,false,,,,false,8,2,0,0,2,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14058,2017,2017-08-31T15:29:00.450,2025-04-20T01:37:25.860,2788,Deferred,mitre,,,,,,,true,,CWE-835,,true,false,,,,false,10,2,0,0,2,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14059,2017,2017-08-31T15:29:00.483,2025-04-20T01:37:25.860,2788,Deferred,mitre,,,,,,,true,,CWE-834,,true,false,,,,false,6,2,0,0,2,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14060,2017,2017-08-31T15:29:00.513,2025-04-20T01:37:25.860,2788,Deferred,mitre,,,,,,,true,,CWE-476,,true,false,,,,false,10,2,0,0,6,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14061,2017,2017-08-31T16:29:00.223,2025-04-20T01:37:25.860,2788,Deferred,mitre,,,,,,,true,,CWE-190,,true,false,,,,false,4,2,0,0,4,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,4,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14062,2017,2017-08-31T16:29:00.270,2025-04-20T01:37:25.860,2788,Deferred,mitre,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,,,,,true,,CWE-190,,true,false,,,,false,8,2,0,0,8,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14063,2017,2017-08-31T16:29:00.303,2025-04-20T01:37:25.860,2788,Deferred,mitre,,,,,,,true,,CWE-20,,true,false,,,,false,56,4,0,0,6,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14064,2017,2017-08-31T17:29:00.183,2025-04-20T01:37:25.860,2788,Deferred,mitre,,,,,,,true,,CWE-119,,true,false,,,,false,32,4,2,6,26,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14069,2017,2017-08-31T18:29:00.213,2025-04-20T01:37:25.860,2788,Deferred,mitre,,,,,,,true,,CWE-89,,true,false,,,,false,4,0,2,0,2,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-1407,2017,2017-09-28T01:29:01.403,2025-04-20T01:37:25.860,2761,Deferred,ibm,,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,,,,,true,,CWE-77,,true,false,,,,false,6,2,0,4,2,2023-03-28T09:12:34Z,2026-02-19T19:03:31Z,4,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14070,2017,2017-08-31T18:29:00.260,2025-04-20T01:37:25.860,2788,Deferred,mitre,,,,,,,true,,CWE-79,,true,false,,,,false,2,0,0,0,2,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,4,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14075,2017,2017-09-11T17:29:00.327,2025-04-20T01:37:25.860,2777,Deferred,mitre,,,,,,,true,,CWE-787,,true,false,,,,false,4,0,4,0,4,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14076,2017,2017-08-31T19:29:00.227,2025-04-20T01:37:25.860,2788,Deferred,mitre,,,,,,,true,,CWE-89,,true,false,,,,false,2,0,2,0,2,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,4,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14077,2017,2017-11-18T01:29:00.197,2025-04-20T01:37:25.860,2710,Deferred,mitre,,,,,,,true,,CWE-94,,true,false,,,,false,4,0,2,0,2,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14078,2017,2017-09-22T16:29:00.277,2025-04-20T01:37:25.860,2766,Deferred,trendmicro,,,,,,,true,,CWE-89,,true,false,,,,false,134,2,0,2,132,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,4,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14079,2017,2017-09-22T16:29:00.480,2025-04-20T01:37:25.860,2766,Deferred,trendmicro,,,,,,,true,,CWE-434,,true,false,,,,false,12,2,0,2,10,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,4,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14080,2017,2017-09-22T16:29:00.557,2025-04-20T01:37:25.860,2766,Deferred,trendmicro,,,,,,,true,,CWE-287,,true,false,,,,false,4,2,0,2,2,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,4,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14081,2017,2017-09-22T16:29:00.603,2025-04-20T01:37:25.860,2766,Deferred,trendmicro,,,,,,,true,,CWE-77,,true,false,,,,false,8,2,0,2,6,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14082,2017,2018-01-19T19:29:00.420,2024-11-21T03:12:06.370,2497,Modified,trendmicro,,,,,,,true,,CWE-200,,true,false,,,,false,6,0,0,0,6,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14083,2017,2017-10-06T01:29:00.867,2025-04-20T01:37:25.860,2753,Deferred,trendmicro,,,,,,,true,,,,true,false,,,,false,16,2,6,2,12,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14084,2017,2017-10-06T01:29:00.927,2025-04-20T01:37:25.860,2753,Deferred,trendmicro,,,,,,,true,,,,true,false,,,,false,18,2,0,2,12,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14085,2017,2017-10-06T01:29:00.960,2025-04-20T01:37:25.860,2753,Deferred,trendmicro,,,,,,,true,,CWE-200,,true,false,,,,false,16,2,6,2,12,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14086,2017,2017-10-06T01:29:00.990,2025-04-20T01:37:25.860,2753,Deferred,trendmicro,,,,,,,true,,CWE-400,,true,false,,,,false,16,2,2,2,12,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14087,2017,2017-10-06T01:29:01.020,2025-04-20T01:37:25.860,2753,Deferred,trendmicro,,,,,,,true,,CWE-20,,true,false,,,,false,16,0,8,2,12,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14088,2017,2017-10-06T01:29:01.067,2025-04-20T01:37:25.860,2753,Deferred,trendmicro,,,,,,,true,,CWE-119,,true,false,,,,false,10,2,0,2,8,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14089,2017,2017-10-06T01:29:01.100,2025-04-20T01:37:25.860,2753,Deferred,trendmicro,,,,,,,true,,CWE-119,,true,false,,,,false,16,2,6,2,12,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-1409,2017,2018-08-06T14:29:00.403,2024-11-21T03:21:50.343,2298,Modified,ibm,,,,,,,true,,CWE-200,,true,false,,,,false,4,2,0,2,0,2023-03-28T09:12:34Z,2026-02-19T19:03:31Z,4,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14090,2017,2017-12-16T02:29:09.010,2025-04-20T01:37:25.860,2681,Deferred,trendmicro,,,,,,,true,,CWE-326,,true,false,,,,false,4,2,2,2,2,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14091,2017,2017-12-16T02:29:09.043,2025-04-20T01:37:25.860,2681,Deferred,trendmicro,,,,,,,true,,CWE-345,,true,false,,,,false,4,2,2,2,2,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14092,2017,2017-12-16T02:29:09.073,2025-04-20T01:37:25.860,2681,Deferred,trendmicro,,,,,,,true,,CWE-352,,true,false,,,,false,4,2,2,2,2,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
